id,slug,title,domain_slug,domain_title,pack_slug,pack_title,path,sha256
PLC-026,problem-validation,Problem Validation,02-discovery-research-market,"Discovery, Research and Market Intelligence",validation,Validation,skills/02-discovery-research-market/validation/problem-validation/SKILL.md,43b21ab63da833ebca8a89ce6995deeac8ed32be7dce4b04e12c50523cbd70e0
PLC-027,demand-validation,Demand Validation,02-discovery-research-market,"Discovery, Research and Market Intelligence",validation,Validation,skills/02-discovery-research-market/validation/demand-validation/SKILL.md,df46771dc76ee1efab549979cfdde07059491bc7899446a6985148edd5a5bc26
PLC-028,solution-concept-validation,Solution Concept Validation,02-discovery-research-market,"Discovery, Research and Market Intelligence",validation,Validation,skills/02-discovery-research-market/validation/solution-concept-validation/SKILL.md,603679c82e5510d251bbafd6956f0e43adfb2da8c64f2056acf8002fdf4765dc
PLC-029,assumption-mapping,Assumption Mapping,02-discovery-research-market,"Discovery, Research and Market Intelligence",validation,Validation,skills/02-discovery-research-market/validation/assumption-mapping/SKILL.md,58d20f674dc91fdadcda77827b6fb1ddec19fe31e138323e40c42abb5a0a45d0
PLC-030,evidence-confidence-assessment,Evidence Confidence Assessment,02-discovery-research-market,"Discovery, Research and Market Intelligence",validation,Validation,skills/02-discovery-research-market/validation/evidence-confidence-assessment/SKILL.md,e68883a1e3eeaf520c61bd22a1283629981463dbccf503fa7d8ae03c7b4699af
PLC-031,product-outcome-definition,Product Outcome Definition,03-product-definition-requirements,Product Definition and Requirements,outcomes-scope,Outcomes and Scope,skills/03-product-definition-requirements/outcomes-scope/product-outcome-definition/SKILL.md,715dee1619299fa3cea875c3263dd8c1a265209b08e925d96932a4d7d958e8ef
PLC-032,success-metrics-definition,Success Metrics Definition,03-product-definition-requirements,Product Definition and Requirements,outcomes-scope,Outcomes and Scope,skills/03-product-definition-requirements/outcomes-scope/success-metrics-definition/SKILL.md,e00df9775cf3dcc8fc6c5f64eae95862cc52e82afa70d65e3c0622ba2101d011
PLC-033,scope-boundary-definition,Scope Boundary Definition,03-product-definition-requirements,Product Definition and Requirements,outcomes-scope,Outcomes and Scope,skills/03-product-definition-requirements/outcomes-scope/scope-boundary-definition/SKILL.md,8b879e85ee4c9506d8daf873cfb661253ecc0d464a59d854e0b7cefa00df25c1
PLC-034,constraint-mapping,Constraint Mapping,03-product-definition-requirements,Product Definition and Requirements,outcomes-scope,Outcomes and Scope,skills/03-product-definition-requirements/outcomes-scope/constraint-mapping/SKILL.md,9a74104ee54f9d3989e2dde3e0a80bb19a9ebf0a8f53ac5ba14edb3361fa9b16
PLC-035,stakeholder-alignment,Stakeholder Alignment,03-product-definition-requirements,Product Definition and Requirements,outcomes-scope,Outcomes and Scope,skills/03-product-definition-requirements/outcomes-scope/stakeholder-alignment/SKILL.md,5be20266b051f04b2e5b9cd54da499a23e9b6da2ffbecbbbad089376f6716f94
PLC-036,functional-requirements,Functional Requirements,03-product-definition-requirements,Product Definition and Requirements,requirements-engineering,Requirements Engineering,skills/03-product-definition-requirements/requirements-engineering/functional-requirements/SKILL.md,a374bad01d91a6f7851156ffeec6e55d34e123c9da9bd4cd0cc20728f9391562
PLC-037,nonfunctional-requirements,Nonfunctional Requirements,03-product-definition-requirements,Product Definition and Requirements,requirements-engineering,Requirements Engineering,skills/03-product-definition-requirements/requirements-engineering/nonfunctional-requirements/SKILL.md,b799253e73e04c76b416d79ab7d9d17a2c69148904111ffdf4f496ed98ce221b
PLC-038,business-rules,Business Rules,03-product-definition-requirements,Product Definition and Requirements,requirements-engineering,Requirements Engineering,skills/03-product-definition-requirements/requirements-engineering/business-rules/SKILL.md,1c23d89262615791f23b40b848c2601650eca32e6b19dc841dbb23313f1dda1f
PLC-039,data-requirements,Data Requirements,03-product-definition-requirements,Product Definition and Requirements,requirements-engineering,Requirements Engineering,skills/03-product-definition-requirements/requirements-engineering/data-requirements/SKILL.md,dba640e16f3e9fcea0f29d0867f47a4ec68645468ace71ecd2337959b8bc2a46
PLC-040,traceability-model,Traceability Model,03-product-definition-requirements,Product Definition and Requirements,requirements-engineering,Requirements Engineering,skills/03-product-definition-requirements/requirements-engineering/traceability-model/SKILL.md,4d1c8807b13b71f4fc58b2dd2123b0d2e2656c09a692538617b50c1a02fc61c3
PLC-041,acceptance-criteria,Acceptance Criteria,03-product-definition-requirements,Product Definition and Requirements,acceptance-planning,Acceptance and Planning,skills/03-product-definition-requirements/acceptance-planning/acceptance-criteria/SKILL.md,3d86318772a022a323c254a187767756efc426bbe53d8ecec9c1152f33d04df9
PLC-042,definition-of-ready,Definition of Ready,03-product-definition-requirements,Product Definition and Requirements,acceptance-planning,Acceptance and Planning,skills/03-product-definition-requirements/acceptance-planning/definition-of-ready/SKILL.md,65ce248e0bfa61b42b297bf66ef670696ffdabf3e522c5a4bdd3c7f8b92720f3
PLC-043,definition-of-done,Definition of Done,03-product-definition-requirements,Product Definition and Requirements,acceptance-planning,Acceptance and Planning,skills/03-product-definition-requirements/acceptance-planning/definition-of-done/SKILL.md,a2a2ab31e546cb463e273d2e021341edcb8d011fd75b1a90e3841baa2eb23e34
PLC-044,dependency-identification,Dependency Identification,03-product-definition-requirements,Product Definition and Requirements,acceptance-planning,Acceptance and Planning,skills/03-product-definition-requirements/acceptance-planning/dependency-identification/SKILL.md,089314e9e94e397428fdb1b4fee6b1d3bd6ede204139110c8f914e51da5a63db
PLC-045,roadmap-sequencing,Roadmap Sequencing,03-product-definition-requirements,Product Definition and Requirements,acceptance-planning,Acceptance and Planning,skills/03-product-definition-requirements/acceptance-planning/roadmap-sequencing/SKILL.md,5908a8cb30de5b73e9d8892f8bd2af21597700c27625ddc3421424c54ccb119b
PLC-046,system-context-boundary,System Context Boundary,04-solution-architecture-systems,Solution Architecture and Systems Design,system-context,System Context,skills/04-solution-architecture-systems/system-context/system-context-boundary/SKILL.md,672b46c19b43cffd894185a5208519bcdb29eb9f52487641cc60f6e0eaf80cdd
PLC-047,stakeholder-system-map,Stakeholder System Map,04-solution-architecture-systems,Solution Architecture and Systems Design,system-context,System Context,skills/04-solution-architecture-systems/system-context/stakeholder-system-map/SKILL.md,c314a2708405920233e0ea5c4b9f8128391c64da7af750de1186d1e45befe626
PLC-048,capability-map,Capability Map,04-solution-architecture-systems,Solution Architecture and Systems Design,system-context,System Context,skills/04-solution-architecture-systems/system-context/capability-map/SKILL.md,9f66abbe1ab7cb38497ea944148fc2b1f1b1cc5cd7d507909eebba6cc6e57b7c
PLC-049,dependency-map,Dependency Map,04-solution-architecture-systems,Solution Architecture and Systems Design,system-context,System Context,skills/04-solution-architecture-systems/system-context/dependency-map/SKILL.md,05ec8719286368670e57d3e11094d54ba3030b81b849a9f41a165cc13b07f16e
PLC-050,architecture-option-analysis,Architecture Option Analysis,04-solution-architecture-systems,Solution Architecture and Systems Design,solution-architecture,Solution Architecture,skills/04-solution-architecture-systems/solution-architecture/architecture-option-analysis/SKILL.md,6d7febe00c29bb4e75d1d97ca254a9d4aef406b0fe374587bc8acd3658733d42
PLC-051,target-architecture,Target Architecture,04-solution-architecture-systems,Solution Architecture and Systems Design,solution-architecture,Solution Architecture,skills/04-solution-architecture-systems/solution-architecture/target-architecture/SKILL.md,f4ce922b375fc5aa9c29c2b6749300354a3cc31aefe466f959182ab4a5f0bcbd
PLC-052,integration-architecture,Integration Architecture,04-solution-architecture-systems,Solution Architecture and Systems Design,solution-architecture,Solution Architecture,skills/04-solution-architecture-systems/solution-architecture/integration-architecture/SKILL.md,c893e6db5bb2361f1a754f7b9d3458b2d1a9e843ff2197aa37729cdb67000540
PLC-053,deployment-architecture,Deployment Architecture,04-solution-architecture-systems,Solution Architecture and Systems Design,solution-architecture,Solution Architecture,skills/04-solution-architecture-systems/solution-architecture/deployment-architecture/SKILL.md,5cdd1b65d2841098b74ea4d41a3597dc795dae2adee8864a7769839c9c71cfab
PLC-054,domain-decomposition,Domain Decomposition,04-solution-architecture-systems,Solution Architecture and Systems Design,domain-modeling,Domain Modeling,skills/04-solution-architecture-systems/domain-modeling/domain-decomposition/SKILL.md,4ab20e93aaeb0e6e3cde8f417bdd5bd9d35c622262c6d4f071b69900ce413bd9
PLC-055,bounded-context-design,Bounded Context Design,04-solution-architecture-systems,Solution Architecture and Systems Design,domain-modeling,Domain Modeling,skills/04-solution-architecture-systems/domain-modeling/bounded-context-design/SKILL.md,ebf9cf3eda4ba1e275297abd017e45a1c3cda489cf1b9e4ffa7ba207ade08e4b
PLC-056,entity-and-value-modeling,Entity and Value Modeling,04-solution-architecture-systems,Solution Architecture and Systems Design,domain-modeling,Domain Modeling,skills/04-solution-architecture-systems/domain-modeling/entity-and-value-modeling/SKILL.md,af715d817da548580871e4ac859fe551c17627ecf928184ceafde5d55d7ca4d1
PLC-057,business-process-modeling,Business Process Modeling,04-solution-architecture-systems,Solution Architecture and Systems Design,domain-modeling,Domain Modeling,skills/04-solution-architecture-systems/domain-modeling/business-process-modeling/SKILL.md,0bfd7495c933bed07a9a72d3b9cba80acb718626969c4fe3a259e14e7c5272f7
PLC-058,quality-attribute-scenarios,Quality Attribute Scenarios,04-solution-architecture-systems,Solution Architecture and Systems Design,quality-attributes,Quality Attributes,skills/04-solution-architecture-systems/quality-attributes/quality-attribute-scenarios/SKILL.md,446900d6122c7018eba61e0db4107d7d88cbb18ded00c6eac049a1c16d72c87c
PLC-059,architecture-tradeoff-analysis,Architecture Tradeoff Analysis,04-solution-architecture-systems,Solution Architecture and Systems Design,quality-attributes,Quality Attributes,skills/04-solution-architecture-systems/quality-attributes/architecture-tradeoff-analysis/SKILL.md,2511effc184e9a277a7e2ab91ab675d5d2f06eaf5f87e8525f00826ab8c22d7a
PLC-060,resilience-by-design,Resilience by Design,04-solution-architecture-systems,Solution Architecture and Systems Design,quality-attributes,Quality Attributes,skills/04-solution-architecture-systems/quality-attributes/resilience-by-design/SKILL.md,1087a7c609351a956a0b31373c9504569f451e7e4edc7f20b5624fb2447e50a1
PLC-061,architecture-decision-records,Architecture Decision Records,04-solution-architecture-systems,Solution Architecture and Systems Design,architecture-governance,Architecture Governance,skills/04-solution-architecture-systems/architecture-governance/architecture-decision-records/SKILL.md,dbe6e26b2b99a4e7199e2aa311ea7388f3beef0c0a3558a112cb93ec8ebac645
PLC-062,architecture-conformance,Architecture Conformance,04-solution-architecture-systems,Solution Architecture and Systems Design,architecture-governance,Architecture Governance,skills/04-solution-architecture-systems/architecture-governance/architecture-conformance/SKILL.md,e64597e054b5b548811705a888eb7ebb0e054f9680dc44689e680986d3afd86b
PLC-063,evolutionary-architecture,Evolutionary Architecture,04-solution-architecture-systems,Solution Architecture and Systems Design,architecture-governance,Architecture Governance,skills/04-solution-architecture-systems/architecture-governance/evolutionary-architecture/SKILL.md,de00ddbc0302bbea4ebab53289d6f0b5688c663c7f5db7c45c7d813f0615177d
PLC-064,service-blueprinting,Service Blueprinting,05-ux-service-design-information-architecture,"UX, Service Design and Information Architecture",service-design,Service Design,skills/05-ux-service-design-information-architecture/service-design/service-blueprinting/SKILL.md,bd96bf15eb49a25fd0d93d644515358fe8b8f4913d6e65d648300ffc7e1f4409
PLC-065,actor-ecosystem-mapping,Actor Ecosystem Mapping,05-ux-service-design-information-architecture,"UX, Service Design and Information Architecture",service-design,Service Design,skills/05-ux-service-design-information-architecture/service-design/actor-ecosystem-mapping/SKILL.md,4ecd9533232cd3b64fe5e909553f86f7257c0dff550584ae538f8f87433158d3
PLC-066,frontstage-backstage-design,Frontstage Backstage Design,05-ux-service-design-information-architecture,"UX, Service Design and Information Architecture",service-design,Service Design,skills/05-ux-service-design-information-architecture/service-design/frontstage-backstage-design/SKILL.md,21fe8b09258ba1d33d0ed7bdaf3b9acdc5a7f3796576a596f260aa589686d865
PLC-067,service-failure-recovery,Service Failure Recovery,05-ux-service-design-information-architecture,"UX, Service Design and Information Architecture",service-design,Service Design,skills/05-ux-service-design-information-architecture/service-design/service-failure-recovery/SKILL.md,15a9b186f33bbf2b333d5b1c5ecb02f52a3331126ba4a3207c472ea48d805e43
PLC-068,persona-and-archetype-modeling,Persona and Archetype Modeling,05-ux-service-design-information-architecture,"UX, Service Design and Information Architecture",journey-design,Journey Design,skills/05-ux-service-design-information-architecture/journey-design/persona-and-archetype-modeling/SKILL.md,f39b07e0694ee0130b3c63e67aed12a95582759cebecfc38d2339c4fbe457d6b
PLC-069,jobs-to-be-done,Jobs to Be Done,05-ux-service-design-information-architecture,"UX, Service Design and Information Architecture",journey-design,Journey Design,skills/05-ux-service-design-information-architecture/journey-design/jobs-to-be-done/SKILL.md,917e9bdef79bdebd125bf418f1eefd52e2e06e080b82e7eaa51cf9e3d7b447d3
PLC-070,journey-mapping,Journey Mapping,05-ux-service-design-information-architecture,"UX, Service Design and Information Architecture",journey-design,Journey Design,skills/05-ux-service-design-information-architecture/journey-design/journey-mapping/SKILL.md,1398f777612518dc63e0d8e2904cdcc3b7471b967a9dd275178d493af12e6f34
PLC-071,onboarding-experience,Onboarding Experience,05-ux-service-design-information-architecture,"UX, Service Design and Information Architecture",journey-design,Journey Design,skills/05-ux-service-design-information-architecture/journey-design/onboarding-experience/SKILL.md,81e11ba15e918524c49135bb6768b1ea21d76710324350dfe9bc94c4f18a3056
PLC-072,conversion-journey-design,Conversion Journey Design,05-ux-service-design-information-architecture,"UX, Service Design and Information Architecture",journey-design,Journey Design,skills/05-ux-service-design-information-architecture/journey-design/conversion-journey-design/SKILL.md,74ab403a689037d4d3f996fb698f7309a6961825a6a627564ba24b3880403fd9
PLC-073,content-inventory,Content Inventory,05-ux-service-design-information-architecture,"UX, Service Design and Information Architecture",information-architecture,Information Architecture,skills/05-ux-service-design-information-architecture/information-architecture/content-inventory/SKILL.md,3d9b2befd13b6b9ff933fe2c9be6c7aae5fd49a598522eaddf7258bcc1c64284
PLC-074,taxonomy-design,Taxonomy Design,05-ux-service-design-information-architecture,"UX, Service Design and Information Architecture",information-architecture,Information Architecture,skills/05-ux-service-design-information-architecture/information-architecture/taxonomy-design/SKILL.md,ac3d8335a7e73aa1b3879535a0a88589c5056c993f54050cbb2611c0421f65ba
PLC-075,navigation-design,Navigation Design,05-ux-service-design-information-architecture,"UX, Service Design and Information Architecture",information-architecture,Information Architecture,skills/05-ux-service-design-information-architecture/information-architecture/navigation-design/SKILL.md,105f0d0db00a9b65f81239d9a356a4118427492811fd6b28293cf246a44be9a1
PLC-076,findability-and-search-design,Findability and Search Design,05-ux-service-design-information-architecture,"UX, Service Design and Information Architecture",information-architecture,Information Architecture,skills/05-ux-service-design-information-architecture/information-architecture/findability-and-search-design/SKILL.md,593b979b1cba7af84c127f4dd4d9ecdf55460f65d065d9ed4a938a9267ae0731
PLC-077,interaction-model,Interaction Model,05-ux-service-design-information-architecture,"UX, Service Design and Information Architecture",interaction-strategy,Interaction Strategy,skills/05-ux-service-design-information-architecture/interaction-strategy/interaction-model/SKILL.md,ed92187b8b98dee7ebdd086763488f92625e5a5268b2a6900587e35bd99ae27f
PLC-078,task-flow-design,Task Flow Design,05-ux-service-design-information-architecture,"UX, Service Design and Information Architecture",interaction-strategy,Interaction Strategy,skills/05-ux-service-design-information-architecture/interaction-strategy/task-flow-design/SKILL.md,1029d29c6671c397214f9f50e021c1e3ce9e412e9fddab1d254f61c98894227a
PLC-079,progressive-disclosure,Progressive Disclosure,05-ux-service-design-information-architecture,"UX, Service Design and Information Architecture",interaction-strategy,Interaction Strategy,skills/05-ux-service-design-information-architecture/interaction-strategy/progressive-disclosure/SKILL.md,50ca897efd547d82cc2dc2a5e691c3b8a6dd254d5cb184405575c7e309c6e69b
PLC-080,feedback-state-design,Feedback State Design,05-ux-service-design-information-architecture,"UX, Service Design and Information Architecture",interaction-strategy,Interaction Strategy,skills/05-ux-service-design-information-architecture/interaction-strategy/feedback-state-design/SKILL.md,b6cd920c5cba0f6b22445e8d10b42a665b18396508ede6ceb9d396fcf2b01c68
PLC-081,brand-interface-alignment,Brand Interface Alignment,06-ui-design-system-content-accessibility,"UI, Design Systems, Content and Accessibility",visual-language,Visual Language,skills/06-ui-design-system-content-accessibility/visual-language/brand-interface-alignment/SKILL.md,f801acf80fde24435df522638ce781681173ce5e5f182bb2b982f0c509636f26
PLC-082,visual-hierarchy,Visual Hierarchy,06-ui-design-system-content-accessibility,"UI, Design Systems, Content and Accessibility",visual-language,Visual Language,skills/06-ui-design-system-content-accessibility/visual-language/visual-hierarchy/SKILL.md,adb05ddbf7eb3793f9f083c2a7601aa852ea870d63b232d6a9b488206f06cc13
PLC-083,typography-and-color-system,Typography and Color System,06-ui-design-system-content-accessibility,"UI, Design Systems, Content and Accessibility",visual-language,Visual Language,skills/06-ui-design-system-content-accessibility/visual-language/typography-and-color-system/SKILL.md,0e722bc14ddd8ab53ec0a5541d3ab1a5678a4b7397af141e8e4c67c45346525d
PLC-084,design-token-architecture,Design Token Architecture,06-ui-design-system-content-accessibility,"UI, Design Systems, Content and Accessibility",design-system,Design System,skills/06-ui-design-system-content-accessibility/design-system/design-token-architecture/SKILL.md,d448f64996d817dc32f3d0227955c1bab0691061f9f884fa727c39aabe9a98d5
PLC-085,component-system-design,Component System Design,06-ui-design-system-content-accessibility,"UI, Design Systems, Content and Accessibility",design-system,Design System,skills/06-ui-design-system-content-accessibility/design-system/component-system-design/SKILL.md,bb025e805ea4137f853a21402c5e3ceb72855da585743d4c9bfeef3638f7e7cf
PLC-086,pattern-library-governance,Pattern Library Governance,06-ui-design-system-content-accessibility,"UI, Design Systems, Content and Accessibility",design-system,Design System,skills/06-ui-design-system-content-accessibility/design-system/pattern-library-governance/SKILL.md,72cce974ed4c84b764a9f45a43130032f5939bab302bf64c7c1ca6f412761712
PLC-087,design-system-adoption,Design System Adoption,06-ui-design-system-content-accessibility,"UI, Design Systems, Content and Accessibility",design-system,Design System,skills/06-ui-design-system-content-accessibility/design-system/design-system-adoption/SKILL.md,251738107c8ca77a666d67265776846b9babda192e9bcce65fed8882dc03abbd
PLC-088,responsive-layout,Responsive Layout,06-ui-design-system-content-accessibility,"UI, Design Systems, Content and Accessibility",responsive-adaptive,Responsive and Adaptive Experience,skills/06-ui-design-system-content-accessibility/responsive-adaptive/responsive-layout/SKILL.md,496ba4440427f70302f48f4721d6ae592c35da6456e8fbf12db1f14c3942c3f1
PLC-089,adaptive-experience,Adaptive Experience,06-ui-design-system-content-accessibility,"UI, Design Systems, Content and Accessibility",responsive-adaptive,Responsive and Adaptive Experience,skills/06-ui-design-system-content-accessibility/responsive-adaptive/adaptive-experience/SKILL.md,8e011a12f5e3212dc71089f3d65bce644d7c0ba07ac82b6d0f7b7b14cc511baf
PLC-090,cross-device-consistency,Cross Device Consistency,06-ui-design-system-content-accessibility,"UI, Design Systems, Content and Accessibility",responsive-adaptive,Responsive and Adaptive Experience,skills/06-ui-design-system-content-accessibility/responsive-adaptive/cross-device-consistency/SKILL.md,0765b1652d306f57b37d19fc59c73cdd7c441304d0821716128cbb86ffe61f30
PLC-091,interface-copy,Interface Copy,06-ui-design-system-content-accessibility,"UI, Design Systems, Content and Accessibility",content-design,Content Design,skills/06-ui-design-system-content-accessibility/content-design/interface-copy/SKILL.md,e0300a1c2ab92bb35890a1e244073b3096b3dccd1bedc4964dadce46051bb64d
PLC-092,error-content,Error Content,06-ui-design-system-content-accessibility,"UI, Design Systems, Content and Accessibility",content-design,Content Design,skills/06-ui-design-system-content-accessibility/content-design/error-content/SKILL.md,65b5dda9e3bf9d5e0ed91b023bafe3e4bde3ca2ed2943e3411efcd9ff6bacb94
PLC-093,content-governance,Content Governance,06-ui-design-system-content-accessibility,"UI, Design Systems, Content and Accessibility",content-design,Content Design,skills/06-ui-design-system-content-accessibility/content-design/content-governance/SKILL.md,4e3e8ab1a1ebe2b8ef6ac4fdad357993196aea65b1faad8de0ddcbcfa08d1a22
PLC-094,semantic-accessibility,Semantic Accessibility,06-ui-design-system-content-accessibility,"UI, Design Systems, Content and Accessibility",accessibility-inclusive-design,Accessibility and Inclusive Design,skills/06-ui-design-system-content-accessibility/accessibility-inclusive-design/semantic-accessibility/SKILL.md,23318132785ba9f2380e13bdfa7b73749e8b1727dceb4cbaa62614e69f5156be
PLC-095,keyboard-and-focus-accessibility,Keyboard and Focus Accessibility,06-ui-design-system-content-accessibility,"UI, Design Systems, Content and Accessibility",accessibility-inclusive-design,Accessibility and Inclusive Design,skills/06-ui-design-system-content-accessibility/accessibility-inclusive-design/keyboard-and-focus-accessibility/SKILL.md,e8e7b41b826484a376279ba992d77f3cbb1924e80d2fb15435e011d9db59149f
